,name,rcode,code,total_amt,deliver_amt,area,technical,funds,message,trade,basic,total_num,point_num,dt
272,理工环科,002322.SZ,2322,9222219100,6333953700,电气设备,2.6,3.5,2.3,6.5,6,20.9,73,2018/4/9
273,远大控股,000626.SZ,626,11116643400,7513329200,贸易,4.6,2.8,4.4,5.8,5.7,23.3,73,2018/4/9
274,科华恒盛,002335.SZ,2335,9821733900,8340673100,电气设备,6.1,3.9,6.3,6.5,6.8,29.6,73,2018/4/9
275,中原特钢,002423.SZ,2423,6473437200,5991113700,通用设备,8.3,4.8,4.8,6.9,4.6,29.4,73,2018/4/9
276,必康股份,002411.SZ,2411,41249083000,7778334300,中药,6,6.2,5.5,7.8,6.4,31.9,73,2018/4/9
277,深振业Ａ,000006.SZ,6,11285958600,11245614200,房地产开发,4.2,2.8,7.5,6.3,7,27.8,73,2018/4/9
278,科大讯飞,002230.SZ,2230,83321618000,70658047000,计算机应用,4.4,2.7,5.7,8,6,26.8,73,2018/4/9
279,威孚高科,000581.SZ,581,25455823000,21104693000,汽车零部件,6,3.4,8.3,6.7,6.3,30.7,73,2018/4/9
280,洪汇新材,002802.SZ,2802,4051080000,1390484400,化学制品,8.9,4,5.5,3.8,5.1,27.3,73,2018/4/9
281,小天鹅Ａ,000418.SZ,418,29366407000,20359562000,白色家电,4.2,5.4,6.2,5.8,7.6,29.2,73,2018/4/9
282,石化机械,000852.SZ,852,8093073500,8093073500,专用设备,9,3.8,5.8,7,5.2,30.8,73,2018/4/9
283,顺丰控股,002352.SZ,2352,2.17E+11,6872105300,物流,4,6.6,5.7,7.4,5.9,29.6,73,2018/4/9
284,丽鹏股份,002374.SZ,2374,5422501800,3152985500,包装印刷,1.8,5.4,6,6.5,5,24.7,73,2018/4/9
285,绵石投资,000609.SZ,609,4467437000,4019684700,保险及其他,5.4,3.5,5.5,6.3,5.3,26,73,2018/4/9
286,大冶特钢,000708.SZ,708,5658052800,5658052800,钢铁,4.9,5.4,6.2,4,5,25.5,73,2018/4/9
287,滨海能源,000695.SZ,695,2521374600,2516537200,电力,3,5.5,5.7,5.8,6.3,26.3,73,2018/4/9
288,诚益通,300430.SZ,300430,3726521900,1358654200,通用设备,7.8,5,5.7,3.4,5.5,27.4,73,2018/4/9
289,吉电股份,000875.SZ,875,11053517000,6667376900,电力,3,5,5.5,5.8,5.5,24.8,73,2018/4/9
290,乐普医疗,300003.SZ,300003,39178548000,31090892000,医疗器械服务,5.7,6.6,6,8,6.3,32.6,73,2018/4/9
291,鲁西化工,000830.SZ,830,13359530300,13351486900,化学制品,1.6,1.8,9.9,7.2,7.1,27.6,73,2018/4/9
292,*ST准油,002207.SZ,2207,2253050900,2042487400,采掘服务,5.3,2.8,4.1,5.8,5.3,23.3,73,2018/4/9
293,卓翼科技,002369.SZ,2369,4717972100,3434053200,电子制造,4.1,4,5.6,6.2,5.4,25.3,73,2018/4/9
294,*ST中基,000972.SZ,972,3162262700,3162262700,农产品加工,8.5,4.1,5.6,8,4.5,30.7,73,2018/4/9
295,赢合科技,300457.SZ,300457,9321962600,4181261600,专用设备,1.8,2,7.8,3.5,6,21.1,73,2018/4/9
