,name,rcode,code,total_amt,deliver_amt,area,technical,funds,message,trade,basic,total_num,point_num,dt
937,中国天楹,000035.SZ,35,8879495700,7674586600,环保工程,7.1,5.1,6.2,6,6.1,30.5,73,2018/4/9
938,报 喜 鸟,002154.SZ,2154,4964710100,4200718200,服装家纺,5.4,3.4,9.1,6.5,5.9,30.3,73,2018/4/9
939,九安医疗,002432.SZ,2432,4527149900,4527149900,医疗器械服务,8.3,2.2,2.7,8,5,26.2,73,2018/4/9
940,京威股份,002662.SZ,2662,9795000000,8017802400,汽车零部件,2.2,5.8,5.9,6.7,5.5,26.1,73,2018/4/9
941,东山精密,002384.SZ,2384,27954361000,14398189000,电子制造,2.2,4.7,6.3,6.2,7.1,26.5,73,2018/4/9
942,张  裕Ａ,000869.SZ,869,24896052000,16469696000,饮料制造,8.4,5.2,5.5,6.8,6.2,32.1,73,2018/4/9
943,康力电梯,002367.SZ,2367,9284677300,5364964400,专用设备,3.4,2,5.1,7,6.3,23.8,73,2018/4/9
944,联创电子,002036.SZ,2036,9380481600,6585689100,光学光电子,8.1,5.1,7.7,6.8,6.7,34.4,73,2018/4/9
945,永高股份,002641.SZ,2641,5795712000,4568328800,建筑材料,3.8,5.6,5.5,5.6,5,25.5,73,2018/4/9
946,大族激光,002008.SZ,2008,37165882000,34540042000,其他电子,3.8,2.4,8.2,7.8,7.1,29.3,73,2018/4/9
947,蓝焰控股,000968.SZ,968,13690163000,3674885800,采掘服务,4.5,5.2,5.5,5.8,6,27,73,2018/4/9
948,坚朗五金,002791.SZ,2791,6604431600,1651107900,建筑材料,2.8,3.9,3.3,2.1,4.9,17,73,2018/4/9
949,博彦科技,002649.SZ,2649,5410243700,4243455400,计算机应用,7.4,3.6,5.8,8,6,30.8,73,2018/4/9
950,凯迪生态,000939.SZ,939,20119529000,10868442800,电力,5.8,3.5,4.2,5.8,5,24.3,73,2018/4/9
951,凯发电气,300407.SZ,300407,4576055000,2251841500,电气设备,3.1,3.5,4.8,3,5.4,19.8,73,2018/4/9
952,贝斯特,300580.SZ,300580,4076000000,1019000000,汽车零部件,5.8,5,6.3,3.2,5.2,25.5,73,2018/4/9
953,上峰水泥,000672.SZ,672,8290786500,8290774400,建筑材料,2.4,3.6,5.6,5.6,6.8,24,73,2018/4/9
954,胜宏科技,300476.SZ,300476,11421611100,4532948600,半导体及元件,3.8,3.1,6.6,4.5,6.3,24.3,73,2018/4/9
955,东宝生物,300239.SZ,300239,2926550600,2825281800,生物制品,4,3.4,6.4,8,4.7,26.5,73,2018/4/9
956,润邦股份,002483.SZ,2483,4270043300,3649868200,专用设备,6.4,4.3,5.5,7,5,28.2,73,2018/4/9
957,江苏雷利,300660.SZ,300660,7176680000,1794170000,电气设备,5.3,3.9,3.8,3,5.4,21.4,73,2018/4/9
958,皇氏集团,002329.SZ,2329,7421490700,4285904900,食品加工制造,1.8,2.5,5.5,7.2,4.6,21.6,73,2018/4/9
959,中原内配,002448.SZ,2448,5939833300,4631032400,汽车零部件,2.2,4.2,5.5,6.7,6,24.6,73,2018/4/9
960,爱康科技,002610.SZ,2610,11316971200,10653049500,电气设备,3.5,3.1,5.6,6.5,6.5,25.2,73,2018/4/9
961,聚光科技,300203.SZ,300203,13085927200,12967596200,环保工程,7.8,3.8,6.1,7,6.4,31.1,73,2018/4/9
962,浙江永强,002489.SZ,2489,13641868000,11758674900,家用轻工,4.4,2.7,3.2,6.2,4.9,21.4,73,2018/4/9
963,华媒控股,000607.SZ,607,7642915100,3659394300,传媒,7.4,4.5,5.5,6,4.5,27.9,73,2018/4/9
964,科隆股份,300405.SZ,300405,2337573800,957313700,化学制品,7.5,4.2,6.4,3.8,5.8,27.7,73,2018/4/9
965,美 欣 达,002034.SZ,2034,4840192000,2729986400,纺织制造,7.4,3.7,5.5,7,4.6,28.2,73,2018/4/9
966,长盈精密,300115.SZ,300115,30297456000,30176479000,电子制造,1.8,3.4,5,6.2,6.4,22.8,73,2018/4/9
967,苏常柴Ａ,000570.SZ,570,4176625000,3060625000,通用设备,2,4.6,5,6.9,4.9,23.4,73,2018/4/9
968,巨人网络,002558.SZ,2558,90307589000,15521347000,传媒,4.4,6.5,6.7,6,6,29.6,73,2018/4/9
969,国创高新,002377.SZ,2377,4238469400,4237563700,基础化学,4.6,4.1,6.9,6,6,27.6,73,2018/4/9
970,通合科技,300491.SZ,300491,4291024700,1498371100,电气设备,8.6,3.7,4.6,3,4.6,24.5,73,2018/4/9
971,天威视讯,002238.SZ,2238,6766191100,6109249900,通信服务,3.1,5.8,6.2,6,5.1,26.2,73,2018/4/9
972,保龄宝,002286.SZ,2286,4017505300,2839109700,农产品加工,6.2,3.8,5.9,8,5.6,29.5,73,2018/4/9
973,天能重工,300569.SZ,300569,4531862500,1133237520,电气设备,7.8,5,5.3,3,4.9,26,73,2018/4/9
974,星网锐捷,002396.SZ,2396,11057171400,10877403900,通信设备,5.2,2,6.7,7.8,7.2,28.9,73,2018/4/9
975,和晶科技,300279.SZ,300279,5409751100,3592443500,电子制造,6.8,4.5,5.6,6.2,4.8,27.9,73,2018/4/9
976,特一药业,002728.SZ,2728,4090000000,2426954900,中药,8,4.2,5.9,4.3,5.8,28.2,73,2018/4/9
977,百润股份,002568.SZ,2568,11779127400,6458925700,食品加工制造,7.8,4.6,5.5,6.8,7.5,32.2,73,2018/4/9
978,德联集团,002666.SZ,2666,4525975600,2664388400,化学制品,3.1,6.3,5,7.2,4.7,26.3,73,2018/4/9
979,民盛金科,002647.SZ,2647,13438480000,13438480000,通用设备,6.5,6.1,6.1,5.5,5.8,30,73,2018/4/9
980,天圣制药,002872.SZ,2872,7114720000,1778680000,医药商业,7.3,3.1,5.5,4.3,5.5,25.7,73,2018/4/9
981,爱施德,002416.SZ,2416,11132881600,10467864000,零售,3,5.1,7.1,5.7,5.7,26.6,73,2018/4/9
982,粤宏远Ａ,000573.SZ,573,3717851000,3714374800,房地产开发,4.4,3.9,3.3,6.3,4.4,22.3,73,2018/4/9
983,安靠智电,300617.SZ,300617,3972865300,993365300,电气设备,8.6,4.6,5.6,3,4.8,26.6,73,2018/4/9
984,鸿利智汇,300219.SZ,300219,9339256700,7015253700,光学光电子,3.4,5,5.6,6.8,6.7,27.5,73,2018/4/9
985,鼎龙股份,300054.SZ,300054,10293638100,7016998200,化学制品,8.2,3.8,5.9,7.2,5.7,30.8,73,2018/4/9
986,国祯环保,300388.SZ,300388,6168389700,5929681400,燃气水务,5.8,5.8,5.8,2.9,6.6,26.9,73,2018/4/9
987,长江证券,000783.SZ,783,52308764000,52308050000,证券,6.2,3.7,5.5,6.5,6.2,28.1,73,2018/4/9
988,金固股份,002488.SZ,2488,7128039600,4084831400,汽车零部件,9.4,4.8,7.3,6.7,5.3,33.5,73,2018/4/9
989,科士达,002518.SZ,2518,8863231400,8458988300,电气设备,2.7,4,6.2,6.5,7.1,26.5,73,2018/4/9
990,初灵信息,300250.SZ,300250,3823151100,2067129600,通信设备,8.1,3.6,5.3,6.8,4.5,28.3,73,2018/4/9
991,中联重科,000157.SZ,157,35838850000,29261246000,专用设备,2.2,3.2,6.7,7,5.7,24.8,73,2018/4/9
992,合力泰,002217.SZ,2217,29312271000,16473559000,光学光电子,8,6.7,6.3,6.8,5.8,33.6,73,2018/4/9
993,三毛派神,000779.SZ,779,2606445500,2606445500,纺织制造,8.6,3.6,7,6.4,6.5,32.1,73,2018/4/9
994,仙坛股份,002746.SZ,2746,5927990600,1934810000,养殖业,8.6,4.3,7.9,3.4,6,30.2,73,2018/4/9
995,三利谱,002876.SZ,2876,4936000000,1234000000,光学光电子,6.6,3.8,4.9,3.2,5.2,23.7,73,2018/4/9
996,巨星科技,002444.SZ,2444,16182478000,15228427000,通用设备,4.2,3,7.2,6.9,6.3,27.6,73,2018/4/9
997,誉衡药业,002437.SZ,2437,15254973000,14897753000,化学制药,2.2,5.3,5.5,8.1,5.7,26.8,73,2018/4/9
998,民生控股,000416.SZ,416,4302840400,4300869500,保险及其他,2.2,4.3,6.5,5.5,4.1,22.6,73,2018/4/9
999,科陆电子,002121.SZ,2121,13005408800,6504810100,电气设备,5.8,3.5,5.8,6.5,6.8,28.4,73,2018/4/9
1000,博世科,300422.SZ,300422,5754073700,2841912100,环保工程,8.2,5.9,8.6,3.5,6.4,32.6,73,2018/4/9
1001,楚江新材,002171.SZ,2171,8633855100,6722552200,有色冶炼加工,5.6,5.3,5.5,6.6,5.7,28.7,73,2018/4/9
1002,梦洁股份,002397.SZ,2397,4726473000,2343701000,服装家纺,8.6,6.3,5.3,6.5,6,32.7,73,2018/4/9
1003,新朋股份,002328.SZ,2328,3598243000,2612289600,汽车零部件,4.6,3.7,5.5,6.7,5.4,25.9,73,2018/4/9
1004,精华制药,002349.SZ,2349,7708207200,5462152600,中药,7,5.6,6.1,7.8,5.5,32,73,2018/4/9
1005,宝莱特,300246.SZ,300246,3678495800,2713242300,医疗器械服务,5.7,3.7,6.6,8,6.1,30.1,73,2018/4/9
1006,国信证券,002736.SZ,2736,1.13E+11,30116218000,证券,5.9,5.6,5.5,3,5.5,25.5,73,2018/4/9
1007,红日药业,300026.SZ,300026,13700299000,10166894300,化学制药,7.4,5.6,6.6,7.8,5.4,32.8,73,2018/4/9
1008,烟台冰轮,000811.SZ,811,6680744000,6187713100,通用设备,7,2.8,5.5,6.9,6.7,28.9,73,2018/4/9
1009,双环传动,002472.SZ,2472,6889253900,5518916900,汽车零部件,3.2,3.5,5.5,6.7,6.3,25.2,73,2018/4/9
1010,云南白药,000538.SZ,538,91841041000,91840398000,中药,3,5.2,5,7.8,5.9,26.9,73,2018/4/9
1011,双成药业,002693.SZ,2693,2745900000,2735166000,化学制药,8.6,5.7,4.5,8.1,6.3,33.2,73,2018/4/9
1012,柘中股份,002346.SZ,2346,11922536200,2154600000,电气设备,5.6,5,6.7,6.5,5.7,29.5,73,2018/4/9
1013,佐力药业,300181.SZ,300181,4102131500,2384805500,中药,6.8,2.3,5.4,7.8,5.2,27.5,73,2018/4/9
1014,欧普康视,300595.SZ,300595,5751576000,1437894000,医疗器械服务,4.5,5.4,5.7,4.5,6.6,26.7,73,2018/4/9
1015,维业股份,300621.SZ,300621,2585360000,646340000,建筑装饰,6.9,4.3,6,3,6.2,26.4,73,2018/4/9
1016,智光电气,002169.SZ,2169,5270328400,3370122800,电气设备,2.8,3.2,7.3,6.5,4.9,24.7,73,2018/4/9
1017,华北高速,000916.SZ,916,9722800000,9722615000,公路铁路运输,5.5,5.3,7.7,6.2,6.2,30.9,73,2018/4/9
1018,朗科科技,300042.SZ,300042,4753488000,3979927400,计算机设备,7,4.2,5.6,8,5.3,30.1,73,2018/4/9
1019,光洋股份,002708.SZ,2708,4164198500,2030494400,汽车零部件,8.5,6.1,5.5,3.2,5.8,29.1,73,2018/4/9
1020,登海种业,002041.SZ,2041,11695200000,11613605600,种植业与林业,6,4,2.8,8.2,4.8,25.8,73,2018/4/9
1021,环能科技,300425.SZ,300425,3730231200,1477738900,环保工程,2.1,4.8,5.7,3.5,5.3,21.4,73,2018/4/9
1022,瀛通通讯,002861.SZ,2861,3655185300,913957200,电子制造,5,4.9,1.1,2.8,5.1,18.9,73,2018/4/9
1023,快意电梯,002774.SZ,2774,4057776000,1014444000,通用设备,6.2,4,5,3.5,4.9,23.6,73,2018/4/9
1024,龙力生物,002604.SZ,2604,5935657900,4929422600,农产品加工,2.2,3.7,5.2,8,5.2,24.3,73,2018/4/9
1025,同力水泥,000885.SZ,885,9237668700,7942734700,建筑材料,4.9,5.5,7,5.6,5.8,28.8,73,2018/4/9
1026,神宇股份,300563.SZ,300563,2800800000,700200000,电气设备,8.8,6.2,6.3,4.3,4.9,30.5,73,2018/4/9
1027,首航节能,002665.SZ,2665,15020010000,11738949000,电气设备,9,4.9,7.4,6.5,4.8,32.6,73,2018/4/9
1028,联建光电,300269.SZ,300269,11279593000,6384917300,光学光电子,4.1,4.1,5.7,6,5.8,25.7,73,2018/4/9
1029,新疆浩源,002700.SZ,2700,4566434600,3384539400,燃气水务,1.8,5.3,6.1,6.4,4.5,24.1,73,2018/4/9
1030,爱仕达,002403.SZ,2403,4543660800,3749591300,白色家电,5.6,5,5.5,5.8,6.5,28.4,73,2018/4/9
1031,国盛金控,002670.SZ,2670,22661781000,7450590700,证券,2.6,4.1,4.2,6.5,4.5,21.9,73,2018/4/9
1032,广博股份,002103.SZ,2103,6524649800,3867985200,包装印刷,2.2,4.6,5.5,6.2,6.3,24.8,73,2018/4/9
1033,元隆雅图,002878.SZ,2878,2351985600,587996400,传媒,9.1,3.2,8.4,2.5,4.9,28.1,73,2018/4/9
1034,海康威视,002415.SZ,2415,2.88E+11,2.26E+11,计算机设备,2,4.9,5.5,7.8,6.3,26.5,73,2018/4/9
1035,今飞凯达,002863.SZ,2863,3092140000,774780000,汽车零部件,3.6,4.5,5.7,3.2,5,22,73,2018/4/9
1036,拓维信息,002261.SZ,2261,10700369100,8914332800,传媒,6.3,3.2,2.5,6,3.9,21.9,73,2018/4/9
1037,如意集团,002193.SZ,2193,4200534600,3710211500,纺织制造,6.5,4,7.3,6.4,4.1,28.3,73,2018/4/9
1038,东方精工,002611.SZ,2611,14834667000,3754633000,专用设备,3.4,3.9,7.7,7,6.4,28.4,73,2018/4/9
1039,云南锗业,002428.SZ,2428,7667628800,7560366500,有色冶炼加工,7.6,3.4,5.5,6.6,5.3,28.4,73,2018/4/9
1040,天晟新材,300169.SZ,300169,2435103000,1790551600,化学制品,2.1,3.3,5.6,7.2,4.4,22.6,73,2018/4/9
1041,广发证券,000776.SZ,776,1.30E+11,1.01E+11,证券,6.4,5.2,6.6,6.5,6,30.7,73,2018/4/9
1042,飞鹿股份,300665.SZ,300665,2023120000,505780000,化学制品,8.2,4.4,3.9,3.8,4.4,24.7,73,2018/4/9
1043,智度股份,000676.SZ,676,13346123000,4373879700,传媒,9,4.8,5.6,6,5.8,31.2,73,2018/4/9
1044,万里扬,002434.SZ,2434,20047500000,15133052000,汽车零部件,4.2,4,5.5,6.7,6.8,27.2,73,2018/4/9
1045,中钢天源,002057.SZ,2057,3482550400,2950848700,新材料,3.5,3.2,5.5,6.8,4.7,23.7,73,2018/4/9
1046,中核钛白,002145.SZ,2145,10044394100,6731234900,化学制品,4.8,2.6,6.5,7.2,6.4,27.5,73,2018/4/9
1047,榕基软件,002474.SZ,2474,6539322000,4695091900,计算机应用,8.1,4,6.3,8,5.1,31.5,73,2018/4/9
1048,同洲电子,002052.SZ,2052,4699546100,3914406500,视听器材,4.7,4.5,3.5,7.8,5.8,26.3,73,2018/4/9
1049,国际医学,000516.SZ,516,10328298300,10127531700,零售,7.4,3.8,5.9,5.7,4.5,27.3,73,2018/4/9
1050,千山药机,300216.SZ,300216,7572061600,5600029700,医疗器械服务,3.4,2.2,4.8,8,6.2,24.6,73,2018/4/9
1051,新大洲Ａ,000571.SZ,571,5967089100,5953564800,煤炭开采,9,4.6,5.5,6.3,6.1,31.5,73,2018/4/9
1052,濮耐股份,002225.SZ,2225,5511107400,3827979600,建筑材料,5.4,5.9,5.5,5.6,4.3,26.7,73,2018/4/9
1053,*ST天仪,000710.SZ,710,18935953000,8074080000,医疗器械服务,9,2.6,5.5,7,6.3,30.4,73,2018/4/9
1054,达华智能,002512.SZ,2512,19037811000,9960216200,计算机应用,5.4,3.6,5.5,7,5.7,27.2,73,2018/4/9
1055,益生股份,002458.SZ,2458,8269152000,4284003300,养殖业,6.4,3.3,4.8,6.9,5.4,26.8,73,2018/4/9
1056,鸿特精密,300176.SZ,300176,7777800000,7755958900,汽车零部件,3.1,4,7.4,6.7,7.8,29,73,2018/4/9
1057,金浦钛业,000545.SZ,545,6039418500,5871546900,基础化学,4.3,3.5,5.5,7.2,6.3,26.8,73,2018/4/9
1058,中航机电,002013.SZ,2013,26944462000,23464421000,国防军工,7.7,7,6.1,8.5,6.9,36.2,73,2018/4/9
1059,和而泰,002402.SZ,2402,8445728200,6492842600,电子制造,3.6,2.6,5.5,6.2,7.1,25,73,2018/4/9
1060,太钢不锈,000825.SZ,825,28936939000,28936056000,钢铁,5.6,2.1,9.9,4,6.1,27.7,73,2018/4/9
1061,东华测试,300354.SZ,300354,1967211900,1031857220,仪器仪表,7.9,3.2,9.9,8.2,3.9,33.1,73,2018/4/9
1062,亿通科技,300211.SZ,300211,2454702100,1506060100,通信设备,6.7,3.8,7.7,6.8,4.1,29.1,73,2018/4/9
1063,天业通联,002459.SZ,2459,5484406700,3091602500,专用设备,4.2,5.8,5.5,7,3.9,26.4,73,2018/4/9
1064,春晖股份,000976.SZ,976,12861171100,4727422200,化工合成材料,7.2,3.8,7.7,6.4,5.5,30.6,73,2018/4/9
1065,新华制药,000756.SZ,756,6887131200,4627996800,化学制药,5.5,4.1,6.1,8.1,6.4,30.2,73,2018/4/9
1066,华伍股份,300095.SZ,300095,3792606600,2365641800,通用设备,8.2,4.5,6.1,6.9,5.8,31.5,73,2018/4/9
1067,顺络电子,002138.SZ,2138,16315975000,13339880600,半导体及元件,7.1,4.8,5.8,8,6.2,31.9,73,2018/4/9
1068,旋极信息,300324.SZ,300324,18696529000,9411720500,计算机应用,8.2,4.8,6,8,6.1,33.1,73,2018/4/9
1069,同有科技,300302.SZ,300302,6293774400,3682083100,计算机设备,8.4,2,5.8,8,5.9,30.1,73,2018/4/9
1070,汇洁股份,002763.SZ,2763,6447600000,1931295000,服装家纺,5.2,2.4,5.5,3,5.9,22,73,2018/4/9
1071,新北洋,002376.SZ,2376,8165166900,7386662800,计算机设备,7.3,4.5,5.5,8,7,32.3,73,2018/4/9
1072,中核科技,000777.SZ,777,6855506600,6855307300,通用设备,5.2,3.3,5.9,6.9,4.2,25.5,73,2018/4/9
1073,高鸿股份,000851.SZ,851,6902586900,5673785600,通信设备,7.9,3.9,6.4,6.8,6.3,31.3,73,2018/4/9
1074,牧原股份,002714.SZ,2714,36758045000,19104300000,养殖业,7,6.5,3.6,3.4,7.3,27.8,73,2018/4/9
1075,新华联,000620.SZ,620,13163031500,12748408500,房地产开发,4.3,6.3,6,5.3,6.1,28,73,2018/4/9
1076,特锐德,300001.SZ,300001,15741656000,13727914000,电气设备,5.1,4.8,6.1,6.5,6.2,28.7,73,2018/4/9
1077,同和药业,300636.SZ,300636,2587200000,646800000,化学制药,8.4,5.1,6.3,4.5,5.7,30,73,2018/4/9
1078,北京科锐,002350.SZ,2350,5669623300,5418730300,电气设备,2.2,3.8,6.3,6.5,5.6,24.4,73,2018/4/9
1079,东方园林,002310.SZ,2310,49601373000,28122520000,建筑装饰,7.8,4.2,5.5,6.5,7,31,73,2018/4/9
1080,力盛赛车,002858.SZ,2858,2569980400,642902000,传媒,3.6,5.9,6.4,2.5,5.8,24.2,73,2018/4/9
1081,新筑股份,002480.SZ,2480,5001604100,4958477900,通用设备,8.6,4.3,6.2,6.9,4.8,30.8,73,2018/4/9
1082,申万宏源,000166.SZ,166,1.16E+11,42637319000,证券,5.2,5.8,6.2,3,5.9,26.1,73,2018/4/9
1083,朗姿股份,002612.SZ,2612,5412000000,2839352000,服装家纺,7.2,5.7,6,6.5,5.4,30.8,73,2018/4/9
1084,渝三峡Ａ,000565.SZ,565,4179829000,4179829000,化学制品,3.2,2.3,5.8,7.2,5.7,24.2,73,2018/4/9
1085,景峰医药,000908.SZ,908,6756667000,4230136500,化学制药,7.7,3.7,1.8,8.1,4.8,26.1,73,2018/4/9
1086,鞍钢股份,000898.SZ,898,48617909000,41321244000,钢铁,5.3,6.1,6,4,4.9,26.3,73,2018/4/9
1087,龙蟒佰利,002601.SZ,2601,35094288000,11545054700,化学制品,3.8,3.6,5.6,7.2,6.8,27,73,2018/4/9
1088,天龙集团,300063.SZ,300063,4867060600,2748324000,传媒,4.3,3.2,5.4,6,4.9,23.8,73,2018/4/9
1089,绿景控股,000502.SZ,502,2121729100,2104844900,房地产开发,4.8,4.1,5.5,6.3,4.1,24.8,73,2018/4/9
1090,瑞凌股份,300154.SZ,300154,3844200000,2698894100,通用设备,9,4.3,6.8,6.9,5.1,32.1,73,2018/4/9
1091,高科石化,002778.SZ,2778,2299025100,1432867500,基础化学,8,5.6,5.5,2.5,4.8,26.4,73,2018/4/9
1092,嘉欣丝绸,002404.SZ,2404,3967353000,3040234400,纺织制造,7.1,4.7,6.5,6.4,6.1,30.8,73,2018/4/9
1093,兔 宝 宝,002043.SZ,2043,11452107100,9527400500,建筑材料,2.6,3,7.1,5.6,6.4,24.7,73,2018/4/9
1094,中科创达,300496.SZ,300496,12581147700,6811140900,计算机应用,8.1,2.2,5.3,4.5,5.9,26,73,2018/4/9
1095,川环科技,300547.SZ,300547,3449260700,862615000,化工合成材料,8.2,5.5,6.6,2.9,4.8,28,73,2018/4/9
1096,达志科技,300530.SZ,300530,3028900000,911880630,化学制品,8.6,3.9,5.6,3.8,4.4,26.3,73,2018/4/9
1097,太龙照明,300650.SZ,300650,2016947100,504236780,光学光电子,4,2.8,7,3.2,4.8,21.8,73,2018/4/9
1098,汉森制药,002412.SZ,2412,4724160000,4576929000,中药,3.4,5.7,5.5,7.8,5.8,28.2,73,2018/4/9
1099,南宁糖业,000911.SZ,911,3950546600,3950546600,农产品加工,4.9,4.1,5.5,8,5.1,27.6,73,2018/4/9
1100,共达电声,002655.SZ,2655,3373200000,3373200000,电子制造,8.6,3.1,5.3,6.2,5.5,28.7,73,2018/4/9
1101,海亮股份,002203.SZ,2203,14264547000,12179282400,有色冶炼加工,6.1,5.3,5.5,6.6,7.2,30.7,73,2018/4/9
1102,申科股份,002633.SZ,2633,2241000000,1302301130,通用设备,5.4,5.6,2.9,6.9,4.2,25,73,2018/4/9
1103,天马股份,002122.SZ,2122,12165120000,11181194100,通用设备,2.2,4.8,4.6,6.9,5.3,23.8,73,2018/4/9
1104,启迪古汉,000590.SZ,590,3786040700,3529364700,中药,7.2,3.6,5.3,7.8,4.6,28.5,73,2018/4/9
1105,赛为智能,300044.SZ,300044,8188123000,4834937000,计算机应用,8.6,4.6,6.8,8,6.1,34.1,73,2018/4/9
1106,会畅通讯,300578.SZ,300578,2206800000,551700000,通信设备,8.4,3.6,6.6,4.3,5.7,28.6,73,2018/4/9
1107,*ST紫学,000526.SZ,526,3109987800,3109987800,传媒,7.4,3,6.3,6,7.5,30.2,73,2018/4/9
1108,成都路桥,002628.SZ,2628,6120554600,6017806900,建筑装饰,3,3.7,5.1,6.5,5,23.3,73,2018/4/9
1109,易世达,300125.SZ,300125,3040860000,2326965500,环保工程,8.5,4.8,6.4,7,4.5,31.2,73,2018/4/9
1110,绿康生化,002868.SZ,2868,2979600000,744900000,农业服务,8.3,4.2,5.5,4.3,6.1,28.4,73,2018/4/9
1111,辉隆股份,002556.SZ,2556,5274360000,5115509000,化学制品,4.2,4.1,5.5,7.2,6,27,73,2018/4/9
1112,秀强股份,300160.SZ,300160,5439616000,5390668100,白色家电,3.4,3.6,5.7,5.8,6.8,25.3,73,2018/4/9
1113,华虹计通,300330.SZ,300330,1984080000,1979111200,计算机应用,6.9,3.5,7.7,8,5.1,31.2,73,2018/4/9
1114,粤 传 媒,002181.SZ,2181,6327767000,6217715400,传媒,5.6,5.3,7.1,6,4.5,28.5,73,2018/4/9
1115,劲胜智能,300083.SZ,300083,14304337000,11219936100,电子制造,4.6,1.9,6,6.2,6.4,25.1,73,2018/4/9
1116,三特索道,002159.SZ,2159,3272533300,3159630400,景点及旅游,9,6.7,5.4,7.4,5.6,34.1,73,2018/4/9
1117,新洋丰,000902.SZ,902,11832080700,11188420400,化学制品,5,4.4,6.2,7.2,5.1,27.9,73,2018/4/9
1118,东方电热,300217.SZ,300217,4610047200,3150201800,白色家电,6,4,6.3,5.8,5.4,27.5,73,2018/4/9
1119,科融环境,300152.SZ,300152,5160672000,5160672000,环保工程,4.6,2.9,5.6,7,4.8,24.9,73,2018/4/9
1120,和佳股份,300273.SZ,300273,8540007600,6078095800,医疗器械服务,7.8,2.8,6.3,8,4.9,29.8,73,2018/4/9
1121,通裕重工,300185.SZ,300185,8855586000,7429274400,通用设备,4.9,4.5,6.8,6.9,5.9,29,73,2018/4/9
1122,海陆重工,002255.SZ,2255,5045758700,3793548200,电气设备,7.8,3.2,5.5,6.5,5.4,28.4,73,2018/4/9
1123,亚泰国际,002811.SZ,2811,4712400000,1178100000,建筑装饰,9,6,5.6,3,5,28.6,73,2018/4/9
1124,辉丰股份,002496.SZ,2496,8155455400,5537431900,化学制品,4.2,3.2,3.3,7.2,7,24.9,73,2018/4/9
1125,光正集团,002524.SZ,2524,3623996200,3607525400,燃气水务,7.4,5.8,5.3,6.4,4.9,29.8,73,2018/4/9
1126,同大股份,300321.SZ,300321,1912752000,1763628900,化工合成材料,5.8,4.8,4.4,6.3,4.4,25.7,73,2018/4/9
1127,日科化学,300214.SZ,300214,3044560200,2178710700,化学制品,4.6,3.2,5.8,7.2,5.1,25.9,73,2018/4/9
1128,新美星,300509.SZ,300509,2561600000,842126000,专用设备,6.7,4.4,6,3.5,5.8,26.4,73,2018/4/9
1129,舒泰神,300204.SZ,300204,7650521700,7442741200,生物制品,7.8,5.7,5.6,8,6.3,33.4,73,2018/4/9
1130,中捷资源,002021.SZ,2021,4278209500,3531417100,专用设备,6.9,4.4,6.2,7,4.6,29.1,73,2018/4/9
1131,山推股份,000680.SZ,680,7705291100,6563674100,专用设备,5.3,4.2,5.5,7,6.4,28.4,73,2018/4/9
1132,金冠电气,300510.SZ,300510,5451051900,2382925500,电气设备,9,5.1,5.6,3,6.3,29,73,2018/4/9
1133,明牌珠宝,002574.SZ,2574,4683360000,4683360000,家用轻工,6.9,4.1,9.1,6.2,4.9,31.2,73,2018/4/9
1134,大洋电机,002249.SZ,2249,16800080000,9638828100,电气设备,4.2,3.7,5.8,6.5,6,26.2,73,2018/4/9
1135,方正电机,002196.SZ,2196,4788554000,2687113500,电气设备,5,4.1,5.5,6.5,5.5,26.6,73,2018/4/9
1136,东方网力,300367.SZ,300367,16552864000,7643318700,计算机设备,5.4,3,5.6,4.5,6,24.5,73,2018/4/9
1137,视源股份,002841.SZ,2841,27117296000,2702970000,光学光电子,8.6,5,5.5,3.2,6.8,29.1,73,2018/4/9
1138,周大生,002867.SZ,2867,13427585000,2159485000,家用轻工,5.1,5.3,5.5,2.8,6.6,25.3,73,2018/4/9
1139,中顺洁柔,002511.SZ,2511,9981371800,9653818000,造纸,5.7,3.7,5.5,6,6.2,27.1,73,2018/4/9
1140,栋梁新材,002082.SZ,2082,3546200000,3065217900,建筑材料,5.7,3.3,5.5,5.6,4.4,24.5,73,2018/4/9
1141,梅安森,300275.SZ,300275,3079311700,2073660100,专用设备,3.6,3.4,4.5,7,6,24.5,73,2018/4/9
1142,利达光电,002189.SZ,2189,3305391600,3296484900,光学光电子,4.5,4.4,6,6.8,5.5,27.2,73,2018/4/9
1143,山东威达,002026.SZ,2026,3667459200,3200717000,通用设备,3.6,4.6,7.3,6.9,6.5,28.9,73,2018/4/9
1144,西泵股份,002536.SZ,2536,5234107500,4849484700,汽车零部件,8.2,3,5.7,6.7,7.1,30.7,73,2018/4/9
1145,江海股份,002484.SZ,2484,7801037600,6105186500,半导体及元件,3,4.8,5.5,8,5.5,26.8,73,2018/4/9
1146,姚记扑克,002605.SZ,2605,5175114500,3499772100,家用轻工,2.3,2.7,5.5,6.2,5.2,21.9,73,2018/4/9
1147,德赛电池,000049.SZ,49,11169364200,11169364200,电子制造,3.4,4,6.4,6.2,6.9,26.9,73,2018/4/9
1148,扬帆新材,300637.SZ,300637,2372400000,593100000,化学制品,8.2,2.4,9.2,3.8,5.3,28.9,73,2018/4/9
1149,凯莱英,002821.SZ,2821,13449971000,2672743200,化学制药,8.5,7.4,6.8,4.5,6,33.2,73,2018/4/9
