rcode	    名称	现价	总市值	流通市值	所属行业
002452	长高集团	7.87	4135086900	2679234500	电气设备
002265	西仪股份	20.53	6540163500	5974763800	汽车零部件
000886	海南高速	5.88	5814310400	5676157700	公路铁路运输
300562	乐心医疗	21.24	4010112000	1005919600	医疗器械服务
002449	国星光电	19.02	9048796700	6601599500	光学光电子
300199	翰宇药业	16.05	15001815000	9030956400	化学制药
002464	金利科技	34.9	8129742900	8129742900	通信服务
603939	益丰药房	34.02	12338872300	6759864400	医药商业
600917	重庆燃气	9.6	14937600000	1497600000	燃气水务
000096	广聚能源	14.46	7634880000	7386862100	基础化学
002575	群兴玩具	9.06	5333803200	5333803200	家用轻工
000982	*ST 中绒	4.54	8194896500	8194896500	纺织制造
300609	汇纳科技	48.3	4830000000	1207500000	计算机应用
600898	国美通讯	12.79	3229779700	3229779700	零售
603269	海鸥股份	24.69	2258394300	564660300	通用设备
002222	福晶科技	16.19	6921225000	6823151700	半导体及元件
600217	中再资环	7.4	10443890300	5329463000	环保工程
002133	广宇集团	5.58	4319724500	3356395700	房地产开发
000595	*ST宝实	5.28	3932967700	2614318100	通用设备
002482	广田集团	9.06	13927754000	11870231400	建筑装饰
600291	西水股份	31.04	33928718000	30384771000	保险及其他
603909	合诚股份	30.24	3024000000	756000000	建筑装饰
000639	西王食品	20.55	9340601100	7740068500	农产品加工
600552	凯盛科技	8.59	6588955800	6364279600	建筑材料
300676	华大基因	119.66	47875966000	4798366000	医疗器械服务
600755	厦门国贸	11.78	19613241000	19613241000	贸易
000788	北大医药	10.9	6496262900	6090640700	化学制药
600099	林海股份	12.87	2820074400	2820074400	非汽车交运
600496	精工钢构	4.87	7355868100	7355868100	建筑装饰
000402	金 融 街	11.69	34940591000	34922534000	房地产开发
600060	海信电器	14.63	19143080000	19143080000	视听器材
601628	中国人寿	28.29	7.99609E+11	5.89098E+11	保险及其他
300662	科锐国际	20.31	3655800000	913950000	传媒
002847	盐津铺子	28.91	3584840000	896210000	食品加工制造
300278	华昌达	20.29	11058930800	4537879000	通用设备
603268	松发股份	28.82	2536160000	1185654800	家用轻工
000922	*ST佳电	8.14	4425451600	3727310000	电气设备
000151	中成股份	18.36	5434192800	4893747200	贸易
000525	红 太 阳	21.17	12294961700	10732832100	化学制品
600062	华润双鹤	21.93	19065169000	15044751000	化学制药
002146	荣盛发展	10.99	47786321000	42754926000	房地产开发
300642	透景生命	82.3	4938000000	1234500000	生物制品
002830	名雕股份	20.64	2752137600	688137600	建筑装饰
600281	太化股份	6.68	3436205500	3436205500	基础化学
300180	华峰超纤	25.7	16217210000	9764504600	化工合成材料
300485	赛升药业	29.62	7108800000	2502297600	化学制药
600658	电子城	11.72	9364154800	6798741600	园区开发
600189	吉林森工	9.32	2893860000	2893860000	种植业与林业
600266	北京城建	14.49	22706410000	21981910000	房地产开发
603108	润达医疗	16.39	9498563600	3636280600	医疗器械服务
002438	江苏神通	8.45	4105670400	2336212700	通用设备
000925	众合科技	17.27	6785827400	5274851000	非汽车交运
600076	康欣新材	9.95	10290928100	7486127600	新材料
002045	国光电器	17.7	7379200800	7357638200	电子制造
600346	恒力股份	9.96	28143842000	9156817100	化工合成材料
603288	海天味业	41.8	1.13067E+11	1.1273E+11	食品加工制造
002339	积成电子	12.27	4649053900	3582925600	电气设备
600488	天药股份	5.65	5428830500	5428830500	化学制药
002116	中国海诚	12.96	5412471000	5385374900	建筑装饰
601012	隆基股份	20.63	41175228000	36234202000	电气设备
000039	中集集团	18.94	56452397000	23927187000	通用设备
600720	祁连山	10.06	7809480200	7808196600	建筑材料
000735	罗 牛 山	6.99	8049079900	7406631400	养殖业
600988	赤峰黄金	14.37	10248551000	8770614900	有色冶炼加工
600775	南京熊猫	10.91	9969978400	7329758400	通信设备
000088	盐 田 港	9.38	18217836000	18217836000	港口航运
000022	深赤湾Ａ	27.45	17698764000	12760573100	港口航运
002422	科伦药业	17.67	25444800000	17377115000	化学制药
600406	国电南瑞	17.38	42215209000	38335998000	电气设备
